"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Password Recovery Feature","1","0","Successful password update","0"
"0","","0","Login feature","1","0","Login fails with invalid credentials","0"
"0","","0","Get user by ID feature","1","0","Successfully get user by ID","0"
"0","","0","Login feature","1","0","Login fails when password is missing","0"
"0","","0","Login feature","1","0","Login fails when email is missing","0"
"0","","0","User Registration Feature","1","0","User registration fails when all fields are missing","0"
"0","","0","Password Recovery Feature","1","0","Password update fails when new password is missing","0"
"0","","0","Update user by ID","1","0","Update user by ID with an empty request body","0"
"0","","0","Update user by ID","1","0","Unauthorized to update another user by ID","0"
"0","","0","Login feature","1","0","Successful login","0"
"0","","0","Update user by ID","1","0","Validar la estructura de la respuesta con json schema","0"
"0","","0","Password Recovery Feature","1","0","Password update fails when email is missing","0"
"0","","0","User Registration Feature","1","0","Successful user registration","0"
"0","","0","User Registration Feature","1","0","User registration fails when required fields are missing","0"
"0","","0","Partial update user by ID","1","0","Patch user by ID with an empty request body","0"
"0","","0","Partial update user by ID","1","0","User ID not found during patch","0"
"0","","0","Password Recovery Feature","1","0","Password update fails when the user is not found","0"
"0","","0","Get all users feature","1","0","No users found","0"
"0","","0","User Registration Feature","1","0","User registration fails when username or email already exists","0"
"0","","0","Get all users feature","1","0","Successfully get all users","0"
"0","","0","Get user by ID feature","1","0","Unauthorized to get user by ID","0"
"0","","0","Get user by ID feature","1","0","User not found","0"
"0","","0","Partial update user by ID","1","0","Successfully patch user by ID","0"
"0","","0","Update user by ID","1","0","User ID not found during update","0"
"0","","0","Delete user by ID feature","1","0","Successfully delete user by ID","0"
"0","","0","Update user by ID","1","0","Successfully update user by ID","0"
"0","","0","Delete user by ID feature","1","0","Unauthorized to delete user by ID","0"
"0","","0","Partial update user by ID","1","0","Unauthorized to patch another user by ID","0"
